Field Group,Heading Category,Heading,Status,Product Name,Quantity,Units,Value GBP,Actual/Issued Date,Application Area ha,Av Field Unit Price GBP,Crop Group,Field Defined Name,Quantity per Application Area ha,Variety,Year
Contract Godfrey FGrp,Variable Costs,Growth Regulators,Completed,Agrovista 3 See 750 (15975),20.478,L,38.91,4/23/2019,13.72,1.9,Wheat Winter,Godfrey Cow Pasture.Dunston,1.493,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Growth Regulators,Completed,Agrovista 3 See 750 (15975),45.119,L,85.73,4/23/2019,30.23,1.9,Wheat Winter,Godfrey Railway Barn.C.Dunston,1.493,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Growth Regulators,Completed,Canopy (16314),4.198,L,66.78,3/28/2019,8.31,15.908,Wheat Winter,Godfrey Beldhams Heath.Dunston,0.505,Wheat Winter,2019
Contract Godfrey FGrp,Variable Costs,Growth Regulators,Completed,Canopy (16314),6.931,L,110.26,3/28/2019,13.72,15.908,Wheat Winter,Godfrey Cow Pasture.Dunston,0.505,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Growth Regulators,Completed,Canopy (16314),15.117,L,240.48,3/28/2019,30.23,15.908,Wheat Winter,Godfrey Railway Barn.C.Dunston,0.5,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Growth Regulators,Completed,Canopy (16314),3.917,L,62.32,5/22/2019,6.45,15.908,Oats Spring,Godfrey Old Orchard.Mascani,0.607,Mascani,2019
Contract Godfrey FGrp,Variable Costs,Growth Regulators,Completed,Canopy (16314),10.264,L,163.29,5/22/2019,16.9,15.908,Oats Spring,Godfrey The Wood.Mascani,0.607,Mascani,2019
Contract Godfrey FGrp,Variable Costs,Growth Regulators,Completed,Optimus (18817),1.272,L,43.85,4/23/2019,8.31,34.47,Wheat Winter,Godfrey Beldhams Heath.Dunston,0.153,Wheat Winter,2019
Contract Godfrey FGrp,Variable Costs,Growth Regulators,Completed,Optimus (18817),2.1,L,72.4,4/23/2019,13.72,34.47,Wheat Winter,Godfrey Cow Pasture.Dunston,0.153,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Growth Regulators,Completed,Optimus (18817),4.628,L,159.51,4/23/2019,30.23,34.47,Wheat Winter,Godfrey Railway Barn.C.Dunston,0.153,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Growth Regulators,Completed,Trinexis (16429),0.651,L,15.39,05/06/2019,6.31,23.653,Wheat Spring,Godfrey Railway Barn.B.Mulika,0.103,Mulika,2019
,,SUB TOTALS FOR Growth Regulators,,,,,1082.47,,,,,,,,
Contract Godfrey FGrp,Variable Costs,Herbicides,Completed,Alias SX (18668),0.163,kg,48.47,05/06/2019,6.31,298.017,Wheat Spring,Godfrey Railway Barn.B.Mulika,0.026,Mulika,2019
Contract Godfrey FGrp,Variable Costs,Herbicides,Completed,Fence (17393),15.5,L,985.1,11/09/2018,30.23,63.555,Wheat Winter,Godfrey Railway Barn.C.Dunston,0.513,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Herbicides,Completed,Fence (17393),4.527,L,287.68,11/15/2018,8.31,63.555,Wheat Winter,Godfrey Beldhams Heath.Dunston,0.545,Wheat Winter,2019
Contract Godfrey FGrp,Variable Costs,Herbicides,Completed,Fence (17393),7.473,L,474.97,11/15/2018,13.72,63.555,Wheat Winter,Godfrey Cow Pasture.Dunston,0.545,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Herbicides,Completed,Herold (16195),2.544,L,179.45,10/04/2018,8.31,70.532,Wheat Winter,Godfrey Beldhams Heath.Dunston,0.306,Wheat Winter,2019
Contract Godfrey FGrp,Variable Costs,Herbicides,Completed,Herold (16195),4.201,L,296.27,10/04/2018,13.72,70.532,Wheat Winter,Godfrey Cow Pasture.Dunston,0.306,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Herbicides,Completed,Herold (16195),9.255,L,652.79,10/04/2018,30.23,70.532,Wheat Winter,Godfrey Railway Barn.C.Dunston,0.306,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Herbicides,Completed,Liberator (15206),1.903,L,119.06,2/26/2019,6.31,62.571,Wheat Spring,Godfrey Railway Barn.B.Mulika,0.302,Mulika,2019
Contract Godfrey FGrp,Variable Costs,Herbicides,Completed,Nevada (17349),4.822,L,104.46,05/06/2019,6.45,21.664,Oats Spring,Godfrey Old Orchard.Mascani,0.748,Mascani,2019
Contract Godfrey FGrp,Variable Costs,Herbicides,Completed,Nevada (17349),12.633,L,273.69,05/06/2019,16.9,21.664,Oats Spring,Godfrey The Wood.Mascani,0.748,Mascani,2019
Contract Godfrey FGrp,Variable Costs,Herbicides,Completed,Palio (18349),2.5,kg,308.98,3/20/2019,8.31,123.585,Wheat Winter,Godfrey Beldhams Heath.Dunston,0.301,Wheat Winter,2019
Contract Godfrey FGrp,Variable Costs,Herbicides,Completed,Palio (18349),4.128,kg,510.13,3/20/2019,13.72,123.585,Wheat Winter,Godfrey Cow Pasture.Dunston,0.301,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Herbicides,Completed,Palio (18349),9.095,kg,1124,3/20/2019,30.23,123.585,Wheat Winter,Godfrey Railway Barn.C.Dunston,0.301,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Herbicides,Completed,Roundup Vista Plus (18002),9.541,L,38.09,10/03/2018,8.31,3.993,Wheat Winter,Godfrey Beldhams Heath.Dunston,1.148,Wheat Winter,2019
Contract Godfrey FGrp,Variable Costs,Herbicides,Completed,Roundup Vista Plus (18002),15.752,L,62.89,10/03/2018,13.72,3.993,Wheat Winter,Godfrey Cow Pasture.Dunston,1.148,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Herbicides,Completed,Roundup Vista Plus (18002),34.707,L,138.57,10/03/2018,30.23,3.993,Wheat Winter,Godfrey Railway Barn.C.Dunston,1.148,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Herbicides,Completed,Roundup Vista Plus (18002),15.574,L,62.18,10/10/2018,6.45,3.993,Oats Spring,Godfrey Old Orchard.Mascani,2.415,Mascani,2019
Contract Godfrey FGrp,Variable Costs,Herbicides,Completed,Roundup Vista Plus (18002),40.807,L,162.93,10/10/2018,16.9,3.993,Oats Spring,Godfrey The Wood.Mascani,2.415,Mascani,2019
Contract Godfrey FGrp,Variable Costs,Herbicides,Completed,Roundup Vista Plus (18002),8.264,L,32.99,2/21/2019,6.45,3.993,Oats Spring,Godfrey Old Orchard.Mascani,1.281,Mascani,2019
Contract Godfrey FGrp,Variable Costs,Herbicides,Completed,Roundup Vista Plus (18002),21.652,L,86.45,2/21/2019,16.9,3.993,Oats Spring,Godfrey The Wood.Mascani,1.281,Mascani,2019
Contract Godfrey FGrp,Variable Costs,Herbicides,Completed,Roundup Vista Plus (18002),8.084,L,32.28,2/21/2019,6.31,3.993,Wheat Spring,Godfrey Railway Barn.B.Mulika,1.281,Mulika,2019
Contract Godfrey FGrp,Variable Costs,Herbicides,Completed,Trooper (13924),16.855,L,199.88,10/04/2018,8.31,11.859,Wheat Winter,Godfrey Beldhams Heath.Dunston,2.028,Wheat Winter,2019
Contract Godfrey FGrp,Variable Costs,Herbicides,Completed,Trooper (13924),27.829,L,330.01,10/04/2018,13.72,11.859,Wheat Winter,Godfrey Cow Pasture.Dunston,2.028,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Herbicides,Completed,Trooper (13924),61.316,L,727.12,10/04/2018,30.23,11.859,Wheat Winter,Godfrey Railway Barn.C.Dunston,2.028,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Herbicides,Completed,Xerton (17335),18.6,L,483.6,11/09/2018,30.23,26,Wheat Winter,Godfrey Railway Barn.C.Dunston,0.615,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Herbicides,Completed,Xerton (17335),5.234,L,136.08,11/15/2018,8.31,26,Wheat Winter,Godfrey Beldhams Heath.Dunston,0.63,Wheat Winter,2019
Contract Godfrey FGrp,Variable Costs,Herbicides,Completed,Xerton (17335),8.641,L,224.67,11/15/2018,13.72,26,Wheat Winter,Godfrey Cow Pasture.Dunston,0.63,Dunston,2019
,,SUB TOTALS FOR Herbicides,,,,,8082.79,,,,,,,,
Contract Godfrey FGrp,Variable Costs,Insecticides,Completed,Colt 10 CS (18708),0.319,L,14.38,04/05/2019,6.45,45,Oats Spring,Godfrey Old Orchard.Mascani,0.05,Mascani,2019
Contract Godfrey FGrp,Variable Costs,Insecticides,Completed,Colt 10 CS (18708),0.837,L,37.67,04/05/2019,16.9,45,Oats Spring,Godfrey The Wood.Mascani,0.05,Mascani,2019
Contract Godfrey FGrp,Variable Costs,Insecticides,Completed,Colt 10 CS (18708),0.313,L,14.07,04/05/2019,6.31,45,Wheat Spring,Godfrey Railway Barn.B.Mulika,0.05,Mulika,2019
Contract Godfrey FGrp,Variable Costs,Insecticides,Completed,Kingpin (18626),1.557,L,32.69,3/20/2019,8.31,21,Wheat Winter,Godfrey Beldhams Heath.Dunston,0.187,Wheat Winter,2019
Contract Godfrey FGrp,Variable Costs,Insecticides,Completed,Kingpin (18626),2.57,L,53.97,3/20/2019,13.72,21,Wheat Winter,Godfrey Cow Pasture.Dunston,0.187,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Insecticides,Completed,Kingpin (18626),5.663,L,118.92,3/20/2019,30.23,21,Wheat Winter,Godfrey Railway Barn.C.Dunston,0.187,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Insecticides,Completed,Sven (18627),5.1,L,93.33,11/09/2018,30.23,18.3,Wheat Winter,Godfrey Railway Barn.C.Dunston,0.169,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Insecticides,Completed,Sven (18627),1.424,L,26.06,11/15/2018,8.31,18.3,Wheat Winter,Godfrey Beldhams Heath.Dunston,0.171,Wheat Winter,2019
Contract Godfrey FGrp,Variable Costs,Insecticides,Completed,Sven (18627),2.351,L,43.02,11/15/2018,13.72,18.3,Wheat Winter,Godfrey Cow Pasture.Dunston,0.171,Dunston,2019
,,SUB TOTALS FOR Insecticides,,,,,434.11,,,,,,,,
Contract Godfrey FGrp,Variable Costs,Seed / Plants,Completed,Canyon,903,kg,416.97,2/24/2019,12.9,0.462,Oats Spring,Godfrey Old Orchard.Mascani,70,Mascani,2019
Contract Godfrey FGrp,Variable Costs,Seed / Plants,Completed,RANDOM SEED,903,kg,416.97,2/24/2019,12.9,0.462,Oats Spring,Godfrey Old Orchard.Mascani,70,Mascani,2019
Contract Godfrey FGrp,Variable Costs,Seed / Plants,Completed,Mascani,2366,kg,1092.54,2/24/2019,33.8,0.462,Oats Spring,Godfrey The Wood.Mascani,70,Mascani,2019
Contract Godfrey FGrp,Variable Costs,Seed / Plants,Completed,Mulika,1135.8,kg,350.29,2/24/2019,12.62,0.308,Wheat Spring,Godfrey Railway Barn.B.Mulika,90,Mulika,2019
,,SUB TOTALS FOR Seed / Plants,,,,,6402.31,,,,,,,,
Contract Godfrey FGrp,Variable Costs,Trace Elements,Completed,Headland Multiple Pro,8.269,L,57.69,4/23/2019,8.31,6.977,Wheat Winter,Godfrey Beldhams Heath.Dunston,0.995,Wheat Winter,2019
Contract Godfrey FGrp,Variable Costs,Trace Elements,Completed,Headland Multiple Pro,13.652,L,95.25,4/23/2019,13.72,6.977,Wheat Winter,Godfrey Cow Pasture.Dunston,0.995,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Trace Elements,Completed,Headland Multiple Pro,30.08,L,209.87,4/23/2019,30.23,6.977,Wheat Winter,Godfrey Railway Barn.C.Dunston,0.995,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Trace Elements,Completed,Headland Multiple Pro,6.505,L,45.39,05/06/2019,6.31,6.977,Wheat Spring,Godfrey Railway Barn.B.Mulika,1.031,Mulika,2019
Contract Godfrey FGrp,Variable Costs,Trace Elements,Completed,Magnesium 5%,8.299,L,4.21,05/02/2019,8.31,0.508,Wheat Winter,Godfrey Beldhams Heath.Dunston,0.999,Wheat Winter,2019
Contract Godfrey FGrp,Variable Costs,Trace Elements,Completed,Magnesium 5%,13.701,L,6.96,05/02/2019,13.72,0.508,Wheat Winter,Godfrey Cow Pasture.Dunston,0.999,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Trace Elements,Completed,Magnesium 5%,30.23,L,15.35,5/20/2019,30.23,0.508,Wheat Winter,Godfrey Railway Barn.C.Dunston,1,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Trace Elements,Completed,Magnesium 5%,6.189,L,3.14,06/06/2019,6.31,0.508,Wheat Spring,Godfrey Railway Barn.B.Mulika,0.981,Mulika,2019
Contract Godfrey FGrp,Variable Costs,Trace Elements,Completed,Magnesium 5%,8.328,L,4.23,06/06/2019,8.31,0.508,Wheat Winter,Godfrey Beldhams Heath.Dunston,1.002,Wheat Winter,2019
Contract Godfrey FGrp,Variable Costs,Trace Elements,Completed,Magnesium 5%,13.75,L,6.98,06/06/2019,13.72,0.508,Wheat Winter,Godfrey Cow Pasture.Dunston,1.002,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Trace Elements,Completed,Magnesium 5%,30.295,L,15.39,06/06/2019,30.23,0.508,Wheat Winter,Godfrey Railway Barn.C.Dunston,1.002,Dunston,2019
Contract Godfrey FGrp,Variable Costs,Trace Elements,Completed,Magnesium 5%,6.449,L,3.28,6/17/2019,6.45,0.508,Oats Spring,Godfrey Old Orchard.Mascani,1,Mascani,2019
